档案号,题名,日期
M042-001-000283-0082,四川省政府关于核办农改所血清厂技佐王祥龙等人任审表件事致四川西康考铨处的公函,
M042-001-000283-0083,四川省政府建设厅关于核实农改所血清厂技佐王祥龙等人任审表改填级俸事给四川省政府的呈,
M042-001-000284-0014,四川省政府关于核复农改所血清厂总务股长申寿松动态登记表事致四川西康考铨处的公函,
M042-001-000284-0015,四川省政府建设厅关于转饬农改所血清厂总务股长申寿松动态登记表等事给四川省政府的呈+通知书1份、动态月报表1份,
M042-001-000284-0033,四川省政府关于雇佣杨瑞斌为农改所血清厂技助员事给四川省农业改进所的指令,
M042-001-000284-0034,四川省政府人事室关于拟请雇佣杨瑞斌为农改所血清厂技助员事给主席邓锡侯的签呈+呈1件,
M042-001-000284-0041,四川省政府建设厅关于核转农改所血清厂技士胡季生任审表证事给四川省政府的呈+审查表1份、履历表1份,
M042-001-000284-0045,四川省政府建设厅关于核查农改所血清厂技佐田应劼、棉厂技佐王显来与曾士鸿任审级俸事给四川省政府的呈,
M042-001-000284-0048,四川省政府关于核实农改所血清厂股长申寿松动态事给四川省政府建设厅的训令,
M042-001-000284-0049,四川西康考铨处关于查知农改所血清厂股长申寿松动态事致四川省政府的公函,
