档案号,题名,日期
0019-0001-00086·0000-038,关于补发金陵大学理学院所购纱包钱余款结算单收据的函,19411003
0019-0001-00086·0000-039,关于拨售金陵大学理学院电械工程系所需双纱线致经济部工矿调整处材料库的函,19410710
0019-0001-00086·0000-040,关于检送金陵大学理学院制造变压器所需材料购料单致经济部工矿调整处材料组的函,19410212
0019-0001-00086·0000-041,关于准予金陵大学理学院购买变压器油及双纱铜线致经济部工矿调整处的函,19410116
0019-0001-00086·0000-042,关于价让金陵大学理学院所需双纱包线材料致经济部工矿调整处的函,19400713
0019-0001-00086·0000-043,关于告知金陵大学理学院延期提取钢片致该学院的函,19400625
0019-0001-00086·0000-044,关于暂缓提取金陵大学理学院所购各项货物致经济部工矿调整处的函,19400622
0019-0001-00086·0000-045,关于准予价让金陵大学理学院所需各种沙包钢线致经济部工矿调整处的函,19400617
0019-0001-00086·0000-047,关于准予金陵大学理学院备款购买电池致经济部工矿调整处的函,19400214
0019-0001-00086·0000-048,关于补缴购矽钢片材料欠款致经济部工矿调整处材料库的函,19401228
0019-0001-00086·0000-051,关于拨让金陵大学理学院所需矽钢片致经济部工矿调整处的函,19391030
0019-0001-00647·0000-010,关于请惠寄出版刊物致四川省政府建设厅统计室、金陵大学农业经济系、四川省农业改进所的函,19421210
0019-0001-01040·0000-001,关于检送购买锡、铅、锌数量致金陵大学理学院的函,19430420
0019-0001-01040·0000-002,关于办理代购锡、铅、锌手续致经济部工矿调整处的函,19430420
0022-0001-00075·0000-052·000,关于请按月发寄并补发1941年10月份起至1942年3月份止各类物价指数的往来函,19420401
0022-0001-00102·0000-059·000,关于私立金陵大学派员采购平价货物致经济部平价购销处成都专员办公处的函,19xx0314
0022-0001-00102·0000-103·000,关于经济部平价购销处核查私立金陵大学采购平价货物致经济部平价购销处驻成都专员办公室的公函,19421015
0022-0001-00202·0000-014·000,关于办理私立金陵大学代学生购买日用必需品的来往函,19430501
0022-0001-00203·0000-172·000,关于填送1941、1942年度全川菜籽产量统计表的公函,19430403
0051-0002-00572-0000-001-000,有限责任金陵大学理学院员生消费合作社登记表,0
0053-0008-00104-0000-039-000,关于检送成都生活费之研究致金陵大学农学院的笺函,19410605
0053-0011-00071-0000-111-001,关于报送私立金陵大学要览的函,194x05xx
0053-0011-00082-0000-007-000,关于鸣谢新重庆月刊社惠赠《新重庆社会问题专辑》的函,19471117
0053-0011-00082-0000-008-000,关于感谢新重庆月刊社惠赠《新重庆创刊号》的函,19470929
0053-0032-00382-0000-088-000,金陵大学校刊,0
0057-0012-00011·0000-044·000,关于规定宣誓期限的函,19451121
0057-0012-00066·0000-065·000,关于造送学生名册致第七区区公所的函,19451228
0060-0001-00012·0000-042,夏生凯关于报送金陵大学农专科毕业班学生工作情形上重庆市社会局的呈,19481003
0060-0002-01370·0000-001,重庆市社会局、私立金陵大学理学院关于组织员生消费合作社请准登记的公函、指令。附：社员名册、章程等,19431108
0060-0002-01370·0000-002,重庆市社会局、私立金陵大学理学院关于报送图记启用日期及职员印鉴纸的呈。附：印鉴纸等,19431202
0060-0007-00002·0000-021,重庆市社会局关于准更改名称给私立金陵大学附属中学重庆同学会的指令,19xx0203
0060-0007-00002·0000-022,私立金陵大学附属中学重庆同学会关于私立南京金陵中学重庆同学会已改名为私立金陵大学附属中学重庆同学会尚重庆市社会局的呈,19431223
0060-0007-00002·0000-023,重庆市社会局关于补正会员、职员名册等及缴纳图记工本费给私立南京大学附属中学重庆同学会的指令,19440402
0060-0007-00002·0000-024,私立金陵大学附属中学重庆同学会关于报送会员名册、章程等及请颁发立案证书、图记上重庆市社会局的呈。附：章程、成立大会会议记录,19431231
0060-0007-00002·0000-025,金陵大学同学会重庆分会关于报送召开秋季大会日期并请准登记上重庆市社会局的呈,19421024
0060-0007-00002·0000-026,重庆市社会局关于检送金陵大学同学会重庆分会发起人略历册请派员调查该会组织情形致重庆市党部的公函,19431210
0060-0007-00002·0000-027,高秉坊、鲁佩璋、杭立武等关于请准成立金陵大学同学会重庆分会上重庆市社会局的呈。附：发起人名册,19431117
0060-0007-00002·0000-028,重庆市社会局关于补办金陵大学同学会重庆分会登记手续致高秉坊的函,19431127
0060-0007-00002·0000-029,重庆市社会局关于派马云为组织指导员及限报章程、会员名册等给金陵大学同学会重庆分会的批,19440128
0060-0007-00002·0000-030,中国国民党重庆市执行委员会关于检送金陵大学同学会重庆分会审查意见表致重庆市社会局的公函,19431223
0060-0007-00079·0000-004,金陵大学重庆同学会发起人履历册,0
0060-0011-00371·0000-008,关于联合当地党政军各界举行纪念会致金陵大学理学院的函,0
0061-0015-03013·0000-017·000,关于协助金陵大学学生参观工厂的训令、通令,0
0065-0001-00604·0000-031·000,关于告知本局电教工作队队址致金陵大学理学院的公函,19460314
0065-0001-00604·0000-033·000,关于转知金陵大学重庆市教育局电教队详细地址上教育部的呈,194603xx
0065-0001-00606·0000-085·000,关于购置办学静映卷片的呈、训令、函,19480302
0065-0001-00623·0000-253·000,关于订阅电影与播音刊物致重庆市教育局的函,19470422
0065-0001-01625·0000-209·000,金陵大学战区教职员子弟自修班补试初中会考学生成绩表、补考试题,0
0065-0001-01267·0000-196·000,关于抄发私立金陵大学电化专修科各省市报送学生入学办法给重庆市教育局的训令，附,19440503
0065-0001-01306·0000-010·000,关于查复李家禧证件情形的公函,194707xx
